name,id,label,xMin,xMax,yMin,yMax
garrafa_1(0)(0).png,0,garrafa_1,127,237,104,437
garrafa_1(0)(1).png,0,garrafa_1,127,237,104,437
garrafa_1(0)(2).png,0,garrafa_1,127,237,104,437
garrafa_1(0)(3).png,0,garrafa_1,127,237,104,437
garrafa_1(0)(4).png,0,garrafa_1,127,237,104,437
garrafa_1(0)(5).png,0,garrafa_1,127,237,104,437
garrafa_1(0)(6).png,0,garrafa_1,127,237,104,437
garrafa_1(0)(7).png,0,garrafa_1,127,237,104,437
garrafa_1(0)(8).png,0,garrafa_1,127,237,104,437
garrafa_1(0)(9).png,0,garrafa_1,127,237,104,437
garrafa_1(1)(0).png,0,garrafa_1,175,250,122,348
garrafa_1(1)(1).png,0,garrafa_1,175,250,122,348
garrafa_1(1)(2).png,0,garrafa_1,175,250,122,348
garrafa_1(1)(3).png,0,garrafa_1,175,250,122,348
garrafa_1(1)(4).png,0,garrafa_1,175,250,122,348
garrafa_1(1)(5).png,0,garrafa_1,175,250,122,348
garrafa_1(1)(6).png,0,garrafa_1,175,250,122,348
garrafa_1(1)(7).png,0,garrafa_1,175,250,122,348
garrafa_1(1)(8).png,0,garrafa_1,175,250,122,348
garrafa_1(1)(9).png,0,garrafa_1,175,250,122,348
garrafa_1(2)(0).png,1,garrafa_1,124,235,103,437
garrafa_1(2)(1).png,1,garrafa_1,124,235,103,437
garrafa_1(2)(2).png,1,garrafa_1,124,235,103,437
garrafa_1(2)(3).png,1,garrafa_1,124,235,103,437
garrafa_1(2)(4).png,1,garrafa_1,124,235,103,437
garrafa_1(2)(5).png,1,garrafa_1,124,235,103,437
garrafa_1(2)(6).png,1,garrafa_1,124,235,103,437
garrafa_1(2)(7).png,1,garrafa_1,124,235,103,437
garrafa_1(2)(8).png,1,garrafa_1,124,235,103,437
garrafa_1(2)(9).png,1,garrafa_1,124,235,103,437
garrafa_1(3)(0).png,1,garrafa_1,153,249,248,535
garrafa_1(3)(1).png,1,garrafa_1,153,249,248,535
garrafa_1(3)(2).png,1,garrafa_1,153,249,248,535
garrafa_1(3)(3).png,1,garrafa_1,153,249,248,535
garrafa_1(3)(4).png,1,garrafa_1,153,249,248,535
garrafa_1(3)(5).png,1,garrafa_1,153,249,248,535
garrafa_1(3)(6).png,1,garrafa_1,153,249,248,535
garrafa_1(3)(7).png,1,garrafa_1,153,249,248,535
garrafa_1(3)(8).png,1,garrafa_1,153,249,248,535
garrafa_1(3)(9).png,1,garrafa_1,153,249,248,535
garrafa_1(4)(0).png,2,garrafa_1,119,226,104,433
garrafa_1(4)(1).png,2,garrafa_1,119,226,104,433
garrafa_1(4)(2).png,2,garrafa_1,119,226,104,433
garrafa_1(4)(3).png,2,garrafa_1,119,226,104,433
garrafa_1(4)(4).png,2,garrafa_1,119,226,104,433
garrafa_1(4)(5).png,2,garrafa_1,119,226,104,433
garrafa_1(4)(6).png,2,garrafa_1,119,226,104,433
garrafa_1(4)(7).png,2,garrafa_1,119,226,104,433
garrafa_1(4)(8).png,2,garrafa_1,119,226,104,433
garrafa_1(4)(9).png,2,garrafa_1,119,226,104,433
garrafa_1(5)(0).png,2,garrafa_1,191,214,349,421
garrafa_1(5)(1).png,2,garrafa_1,191,214,349,421
garrafa_1(5)(2).png,2,garrafa_1,191,214,349,421
garrafa_1(5)(3).png,2,garrafa_1,191,214,349,421
garrafa_1(5)(4).png,2,garrafa_1,191,214,349,421
garrafa_1(5)(5).png,2,garrafa_1,191,214,349,421
garrafa_1(5)(6).png,2,garrafa_1,191,214,349,421
garrafa_1(5)(7).png,2,garrafa_1,191,214,349,421
garrafa_1(5)(8).png,2,garrafa_1,191,214,349,421
garrafa_1(5)(9).png,2,garrafa_1,191,214,349,421
garrafa_1(6)(0).png,3,garrafa_1,109,219,103,432
garrafa_1(6)(1).png,3,garrafa_1,109,219,103,432
garrafa_1(6)(2).png,3,garrafa_1,109,219,103,432
garrafa_1(6)(3).png,3,garrafa_1,109,219,103,432
garrafa_1(6)(4).png,3,garrafa_1,109,219,103,432
garrafa_1(6)(5).png,3,garrafa_1,109,219,103,432
garrafa_1(6)(6).png,3,garrafa_1,109,219,103,432
garrafa_1(6)(7).png,3,garrafa_1,109,219,103,432
garrafa_1(6)(8).png,3,garrafa_1,109,219,103,432
garrafa_1(6)(9).png,3,garrafa_1,109,219,103,432
garrafa_1(7)(0).png,3,garrafa_1,183,222,147,262
garrafa_1(7)(1).png,3,garrafa_1,183,222,147,262
garrafa_1(7)(2).png,3,garrafa_1,183,222,147,262
garrafa_1(7)(3).png,3,garrafa_1,183,222,147,262
garrafa_1(7)(4).png,3,garrafa_1,183,222,147,262
garrafa_1(7)(5).png,3,garrafa_1,183,222,147,262
garrafa_1(7)(6).png,3,garrafa_1,183,222,147,262
garrafa_1(7)(7).png,3,garrafa_1,183,222,147,262
garrafa_1(7)(8).png,3,garrafa_1,183,222,147,262
garrafa_1(7)(9).png,3,garrafa_1,183,222,147,262
garrafa_1(8)(0).png,4,garrafa_1,102,212,100,431
garrafa_1(8)(1).png,4,garrafa_1,102,212,100,431
garrafa_1(8)(2).png,4,garrafa_1,102,212,100,431
garrafa_1(8)(3).png,4,garrafa_1,102,212,100,431
garrafa_1(8)(4).png,4,garrafa_1,102,212,100,431
garrafa_1(8)(5).png,4,garrafa_1,102,212,100,431
garrafa_1(8)(6).png,4,garrafa_1,102,212,100,431
garrafa_1(8)(7).png,4,garrafa_1,102,212,100,431
garrafa_1(8)(8).png,4,garrafa_1,102,212,100,431
garrafa_1(8)(9).png,4,garrafa_1,102,212,100,431
garrafa_1(9)(0).png,4,garrafa_1,160,238,259,494
garrafa_1(9)(1).png,4,garrafa_1,160,238,259,494
garrafa_1(9)(2).png,4,garrafa_1,160,238,259,494
garrafa_1(9)(3).png,4,garrafa_1,160,238,259,494
garrafa_1(9)(4).png,4,garrafa_1,160,238,259,494
garrafa_1(9)(5).png,4,garrafa_1,160,238,259,494
garrafa_1(9)(6).png,4,garrafa_1,160,238,259,494
garrafa_1(9)(7).png,4,garrafa_1,160,238,259,494
garrafa_1(9)(8).png,4,garrafa_1,160,238,259,494
garrafa_1(9)(9).png,4,garrafa_1,160,238,259,494
garrafa_1(10)(0).png,5,garrafa_1,93,208,104,439
garrafa_1(10)(1).png,5,garrafa_1,93,208,104,439
garrafa_1(10)(2).png,5,garrafa_1,93,208,104,439
garrafa_1(10)(3).png,5,garrafa_1,93,208,104,439
garrafa_1(10)(4).png,5,garrafa_1,93,208,104,439
