,Ymin,Xmin,Ymax,Xmax,id,name,mask
0,64.0,82.0,338.0,177.0,0.0,images/garrafa_2/garrafa2(0).png,output/garrafa_2/mask_(0).png
1,176.4,77.9,329.9,131.1,0.0,output/garrafa_2/aum_(0).png,output/garrafa_2/aum_mask_(0).png
2,64.0,77.0,342.0,175.0,1.0,images/garrafa_2/garrafa2(1).png,output/garrafa_2/mask_(1).png
3,56.1,57.0,328.5,153.1,1.0,output/garrafa_2/aum_(1).png,output/garrafa_2/aum_mask_(1).png
4,74.0,74.0,345.0,170.0,2.0,images/garrafa_2/garrafa2(2).png,output/garrafa_2/mask_(2).png
5,235.6,94.0,455.2,171.8,2.0,output/garrafa_2/aum_(2).png,output/garrafa_2/aum_mask_(2).png
6,85.0,74.0,353.0,170.0,3.0,images/garrafa_2/garrafa2(3).png,output/garrafa_2/mask_(3).png
7,156.4,126.0,327.9,187.4,3.0,output/garrafa_2/aum_(3).png,output/garrafa_2/aum_mask_(3).png
8,84.0,77.0,359.0,172.0,4.0,images/garrafa_2/garrafa2(4).png,output/garrafa_2/mask_(4).png
9,214.4,125.0,486.6,219.1,4.0,output/garrafa_2/aum_(4).png,output/garrafa_2/aum_mask_(4).png
10,84.0,79.0,363.0,176.0,5.0,images/garrafa_2/garrafa2(5).png,output/garrafa_2/mask_(5).png
11,303.6,69.3,420.8,110.0,5.0,output/garrafa_2/aum_(5).png,output/garrafa_2/aum_mask_(5).png
12,84.0,79.0,365.0,177.0,6.0,images/garrafa_2/garrafa2(6).png,output/garrafa_2/mask_(6).png
13,118.5,101.3,205.6,131.7,6.0,output/garrafa_2/aum_(6).png,output/garrafa_2/aum_mask_(6).png
14,82.0,78.0,376.0,178.0,7.0,images/garrafa_2/garrafa2(7).png,output/garrafa_2/mask_(7).png
15,45.4,141.1,312.9,232.1,7.0,output/garrafa_2/aum_(7).png,output/garrafa_2/aum_mask_(7).png
16,80.0,79.0,381.0,181.0,8.0,images/garrafa_2/garrafa2(8).png,output/garrafa_2/mask_(8).png
17,321.9,92.3,463.4,140.2,8.0,output/garrafa_2/aum_(8).png,output/garrafa_2/aum_mask_(8).png
18,82.0,79.0,391.0,182.0,9.0,images/garrafa_2/garrafa2(9).png,output/garrafa_2/mask_(9).png
19,114.2,146.2,305.8,210.0,9.0,output/garrafa_2/aum_(9).png,output/garrafa_2/aum_mask_(9).png
20,86.0,81.0,400.0,187.0,10.0,images/garrafa_2/garrafa2(10).png,output/garrafa_2/mask_(10).png
