104,127,437,237,0,,
103,124,437,235,1,,
104,119,433,226,2,,
103,109,432,219,3,,
100,102,431,212,4,,
104,93,439,208,5,,
104,93,439,208,5,,
114,86,453,199,7,,
119,90,455,203,8,,
113,98,448,208,9,,
114,111,440,220,10,,
104,113,428,223,11,,
98,119,430,226,12,,
100,119,435,228,13,,
100,125,434,235,14,,
102,129,436,243,15,,
101,134,432,248,16,,
105,146,431,250,17,,
103,150,431,256,18,,
100,148,436,258,19,,
101,152,444,259,20,,
101,152,444,259,20,,
114,148,447,255,22,,
114,148,447,255,22,,
107,146,455,259,24,,
114,145,457,258,25,,
114,145,457,258,25,,
116,147,466,265,27,,
129,150,477,262,28,,
138,157,484,273,29,,
138,157,484,273,29,,
138,157,484,273,29,,
138,157,484,273,29,,
218,155,543,270,33,,
222,152,560,269,34,,
228,147,569,264,35,,
224,146,559,267,36,,
224,146,559,267,36,,
208,143,532,260,38,,
189,139,528,257,39,,
187,141,522,258,40,,
174,144,513,263,41,,
167,141,510,257,42,,
159,136,507,255,43,,
151,133,504,252,44,,
142,129,497,250,45,,
128,130,490,248,46,,
118,126,485,248,47,,
107,124,469,245,48,,
103,118,470,242,49,,
103,118,470,242,49,,
103,118,470,242,49,,
103,118,470,242,49,,
108,131,477,254,53,,
105,136,475,260,54,,
105,136,475,260,54,,
105,136,475,260,54,,
105,136,475,260,54,,
105,136,475,260,54,,
105,136,475,260,54,,
105,136,475,260,54,,
105,136,475,260,54,,
105,136,475,260,54,,
105,136,475,260,54,,
105,136,475,260,54,,
105,136,475,260,54,,
105,136,475,260,54,,
105,136,475,260,54,,
105,136,475,260,54,,
105,136,475,260,54,,
105,136,475,260,54,,
105,136,475,260,54,,
105,136,475,260,54,,
105,136,475,260,54,,
105,136,475,260,54,,
105,136,475,260,54,,
186,100,559,229,76,,
186,100,559,229,76,,
186,100,559,229,76,,
